1132314524038639616,@GrimoireLab,2019-05-25 15:56:34,"Ha sido una pasada participar en el @Opensouthcode presentando @GrimoireLab con @_valcos_, enhorabuena por el event… https://t.co/bUDsw1JyGh",Twitter for Android,None,4,7,es,[],"[""Opensouthcode"", ""GrimoireLab"", ""_valcos_""]","[""https://twitter.com/i/web/status/1132314524038639616""]"
1130379027037003776,@GrimoireLab,2019-05-20 07:45:36,"@glasnt I am biased, of course, but I would say @GrimoireLab !",Twitter Web App,None,0,1,en,[],"[""glasnt"", ""GrimoireLab""]",[]
1126783456585887744,@GrimoireLab,2019-05-10 09:38:05,@carmatrocity @natfriedman Interesting idea for @GrimoireLab 🥳🥳,Twitter Web App,None,0,2,en,[],"[""carmatrocity"", ""natfriedman"", ""GrimoireLab""]",[]
1118552714676293632,@GrimoireLab,2019-04-17 16:32:03,Hey @GrimoireLab can I find some step by step tutorial (article/video) on how to make use of your tool starting to… https://t.co/qi4RqZejcJ,Twitter Web Client,None,0,3,en,[],"[""GrimoireLab""]","[""https://twitter.com/i/web/status/1118552714676293632""]"
1116719942303399940,@GrimoireLab,2019-04-12 15:09:16,"Today inner seminar by @jsmanrique was about consuming @GrimoireLab data with tools like #Grafana, Google Colaborat… https://t.co/5Z7JAJOX36",Twitter for Android,None,6,13,en,"[""Grafana""]","[""jsmanrique"", ""GrimoireLab""]","[""https://twitter.com/i/web/status/1116719942303399940""]"
1110504256698613760,@GrimoireLab,2019-03-26 11:30:21,@Bitergia @CHAOSSproj @GrimoireLab I am interested in @CHAOSSproj. I am applying for GSoC too. Looking forward to an amazing experience. 😃,Twitter Web App,None,0,8,en,[],"[""Bitergia"", ""CHAOSSproj"", ""GrimoireLab"", ""CHAOSSproj""]",[]
1106310044088500226,@GrimoireLab,2019-03-14 21:44:03,Best mentors ever!! 🚀 Join @CHAOSSproj and @GrimoireLab at #GSOC 🌞💚📍📆 Proposals accepted starting on March 25th https://t.co/rSs6LpDsPj,Twitter Web App,None,3,8,en,"[""GSOC""]","[""CHAOSSproj"", ""GrimoireLab""]","[""https://twitter.com/alpgarcia/status/1106262904712642561""]"
1105254519137423360,@GrimoireLab,2019-03-11 23:49:46,I cannot wait to test @AWSOpen OpenDistro for ElasticSearch with @GrimoireLab https://t.co/mzTmrXXxsS,TweetDeck,None,2,6,en,[],"[""AWSOpen"", ""GrimoireLab""]",[]
1105211167629168640,@GrimoireLab,2019-03-11 20:57:30,"@alvarolmedo @AWSOpen @Bitergia We have done it too for @GrimoireLab, but it's hard and resource consuming. So, hav… https://t.co/xrsk1zjt6J",Twitter for Android,None,0,2,en,[],"[""alvarolmedo"", ""AWSOpen"", ""Bitergia"", ""GrimoireLab""]","[""https://twitter.com/i/web/status/1105211167629168640""]"
1092447975043985408,@GrimoireLab,2019-02-04 15:41:08,"@geekygirldawn Funny the mention to @dizquierdo's talk about ""Diversity in Python project"" by one of the attendees… https://t.co/bNdrxt91yc",Twitter Web App,None,2,6,en,[],"[""geekygirldawn"", ""dizquierdo""]","[""https://twitter.com/i/web/status/1092447975043985408""]"
1091687463301664768,@GrimoireLab,2019-02-02 13:19:08,"These 3D @GrimoireLab visualizations look really cool, right?  Awesome work from our Bitergian @dlumbrer1 !!… https://t.co/NR1IzJ8CLC",Twitter for Android,None,6,14,en,[],"[""GrimoireLab"", ""dlumbrer1""]","[""https://twitter.com/i/web/status/1091687463301664768""]"
1091647949996736513,@GrimoireLab,2019-02-02 10:42:07,Hacking @GrimoireLab at #FOSDEM https://t.co/blkv2Y9rnJ,Twitter for Android,None,2,8,en,"[""FOSDEM""]","[""GrimoireLab""]",[]
1091580424877297664,@GrimoireLab,2019-02-02 06:13:48,@Bitergia @jsmanrique @GrimoireLab Are boinas the new fedoras yet?,Twitter for Android,None,0,3,en,[],"[""Bitergia"", ""jsmanrique"", ""GrimoireLab""]",[]
1091340389410324481,@GrimoireLab,2019-02-01 14:19:59,First visualization from Graal (@GrimoireLab) introduced by @_valcos_ at today's lighting talk during #CHAOSSCon https://t.co/A0xgnJpHlN,Twitter for Android,None,6,10,en,"[""CHAOSSCon""]","[""GrimoireLab"", ""_valcos_""]",[]
1091285006897565696,@GrimoireLab,2019-02-01 10:39:55,"Great to hear Raymond mentioning the idea of ""Contributors funnel"", a concept I am always looking for time to  impl… https://t.co/C1GYx2eohf",Twitter for Android,None,1,3,en,[],[],"[""https://twitter.com/i/web/status/1091285006897565696""]"
1091283269696581632,@GrimoireLab,2019-02-01 10:33:01,Guess who is using @GrimoireLab / @Bitergia Analytics ... Raymond Paik at @gitlab!! #CHAOSSCon https://t.co/XNtJ3SbXzU,Twitter for Android,None,1,6,en,"[""CHAOSSCon""]","[""GrimoireLab"", ""Bitergia"", ""gitlab""]",[]
1091279935291961344,@GrimoireLab,2019-02-01 10:19:46,Great to see @AlexCourouble using @GrimoireLab Perceval and SortingHat for their @vmwopensource reporting!… https://t.co/4rsq1VcR7k,Twitter for Android,None,3,9,en,[],"[""AlexCourouble"", ""GrimoireLab"", ""vmwopensource""]","[""https://twitter.com/i/web/status/1091279935291961344""]"
1087690303807676418,@GrimoireLab,2019-01-22 12:35:51,🗓️Only 10 more days to #CHAOSSCON Europe 2019!  Do you want to know what's new in @CHAOSSproj and @GrimoireLab ? Th… https://t.co/DGbcCqz3Nh,Twitter Web Client,None,3,7,en,"[""CHAOSSCON""]","[""CHAOSSproj"", ""GrimoireLab""]","[""https://twitter.com/i/web/status/1087690303807676418""]"
1085840140361187328,@GrimoireLab,2019-01-17 10:03:58,"Did you know Graal (a new  @GrimoireLab extension) monitor the evolution of source #code information,  including… https://t.co/QVR4BucJR7",Twitter Web Client,None,9,13,en,"[""code""]","[""GrimoireLab""]","[""https://twitter.com/i/web/status/1085840140361187328""]"
1083122213681795074,@GrimoireLab,2019-01-09 22:03:53,"Hey! I'm gonna be talking about @GrimoireLab in #CHAOSSCon https://t.co/lGuSgrqOJg Spaniards attending to @FOSDEM, shall we meet there?",Twitter Web Client,None,1,4,en,"[""CHAOSSCon""]","[""GrimoireLab"", ""fosdem""]","[""https://chaoss.community/chaosscon-2019-eu/#user-content-manrique-lopez""]"
1081197121959804931,@GrimoireLab,2019-01-04 14:34:16,"From now on, @GrimoireLab and Bitergia begin to support #GitLab!📈📊Learn more about effective ways to analyze your… https://t.co/tISpTfjf8D",Twitter Web Client,None,9,10,en,"[""GitLab""]","[""GrimoireLab""]","[""https://twitter.com/i/web/status/1081197121959804931""]"
1079754535705477120,@GrimoireLab,2018-12-31 15:01:56,Grimoirelab – Analiza tu proyecto de desarrollo software con esta plataforma open source https://t.co/upaEccNebF vi… https://t.co/fGoFLxwhYl,Buffer,None,4,7,es,[],[],"[""https://buff.ly/2QXO2u0"", ""https://twitter.com/i/web/status/1079754535705477120""]"
1077256946212847617,@GrimoireLab,2018-12-24 17:37:25,"Our best wishes for all of our friends! Whatever you are celebrating, enjoy it! Thank you very much to @GrimoireLab… https://t.co/6ibsS7rdK6",Twitter Web Client,None,9,16,en,[],"[""GrimoireLab""]","[""https://twitter.com/i/web/status/1077256946212847617""]"
1075664399820619777,@GrimoireLab,2018-12-20 08:09:12,"@xurxosanz @geowolf @jodygarnett @Spatial_Punk @MicheleTobias @boundlessgeo Well, the Cauldron is a bit outdated in… https://t.co/81D61UmB6O",Twitter for Android,None,0,1,en,[],"[""xurxosanz"", ""geowolf"", ""jodygarnett"", ""Spatial_Punk"", ""MicheleTobias"", ""boundlessgeo""]","[""https://twitter.com/i/web/status/1075664399820619777""]"
1073140219841576960,@GrimoireLab,2018-12-13 08:59:01,"Today, attending to @dlumbrer1 Master Thesis presentation: ""#VBoard, 3D and #VR data visualization""… https://t.co/IZytjFaXdu",Twitter for Android,None,3,6,en,"[""VBoard"", ""VR""]","[""dlumbrer1""]","[""https://twitter.com/i/web/status/1073140219841576960""]"
1069316773349068805,@GrimoireLab,2018-12-02 19:46:00,"He subido a SpeakerDeck las slides de la charla de ayer. Son súper esquemáticas, por lo que estoy más que dispuesto… https://t.co/E7qIwFLdEZ",Twitter for iPad,None,4,30,es,[],[],"[""https://twitter.com/i/web/status/1069316773349068805""]"
